ClienteID,Edad,Genero,Antiguedad_meses,Uso_mensual_GB,Plan,Soporte_contactado,Pago_puntual,Churn
72,48.0,Masculino,50,0.57,Estándar,6.0,1,1
73,32.0,Masculino,12,4.72,Estándar,1.0,1,0
74,24.0,Femenino,22,5.51,Básico,1.0,1,0
75,53.0,Masculino,27,2.56,Estándar,8.0,1,0
76,39.0,Masculino,58,12.11,Estándar,7.0,1,0
77,55.0,Masculino,18,0.26,Básico,9.0,1,0
78,32.0,Femenino,19,8.52,Básico,3.0,1,0
79,53.0,Masculino,59,4.03,Básico,,1,0
80,57.0,Femenino,5,4.72,Básico,8.0,1,0
81,37.0,Masculino,16,21.65,Básico,3.0,1,0
82,44.0,Femenino,49,,Básico,9.0,1,0
83,,Femenino,41,7.97,Básico,7.0,1,1
84,26.0,Femenino,10,0.83,Premium,,1,0
85,44.0,Femenino,19,8.28,Estándar,0.0,0,1
86,34.0,Masculino,44,7.16,Estándar,6.0,1,0
87,43.0,Femenino,1,17.23,Básico,9.0,0,0
88,42.0,Masculino,22,13.72,Básico,,1,1
89,48.0,Femenino,17,1.2,Estándar,6.0,1,0
90,46.0,Femenino,35,3.13,Básico,7.0,1,0
91,51.0,Femenino,39,12.12,Básico,3.0,1,0
92,,Femenino,52,5.12,Premium,5.0,0,1
93,44.0,Femenino,9,3.12,Básico,9.0,1,0
94,40.0,Masculino,55,0.58,Básico,6.0,1,1
95,53.0,Femenino,5,2.17,Premium,7.0,1,0
96,62.0,Masculino,9,5.47,Básico,2.0,1,0
97,49.0,Femenino,51,7.5,Estándar,6.0,1,0
98,46.0,Femenino,11,2.96,Premium,4.0,0,0
99,37.0,Femenino,14,0.29,Básico,6.0,1,0
100,43.0,Femenino,46,5.01,Premium,5.0,1,1
101,35.0,Masculino,40,12.73,Básico,4.0,0,0
102,33.0,Femenino,24,3.43,Premium,2.0,1,0
103,38.0,Masculino,20,13.19,Básico,9.0,1,0
104,61.0,Masculino,33,2.19,Premium,1.0,0,1
105,39.0,Masculino,4,10.87,Estándar,2.0,1,0
106,59.0,Masculino,16,7.72,Estándar,1.0,0,1
107,28.0,Masculino,25,16.32,Premium,2.0,1,0
108,42.0,Masculino,58,7.83,Básico,1.0,1,0
109,49.0,Femenino,1,1.94,Básico,0.0,1,0
110,49.0,Masculino,51,11.54,Básico,8.0,0,0
111,27.0,Masculino,24,5.54,Básico,9.0,0,0
112,25.0,Masculino,3,0.88,Estándar,,1,0
113,47.0,Masculino,32,0.24,Premium,8.0,1,0
114,33.0,Masculino,34,2.28,Básico,7.0,1,0
115,48.0,Masculino,49,7.73,Básico,6.0,1,0
116,57.0,Femenino,25,4.81,Estándar,5.0,1,1
117,32.0,Femenino,43,3.74,Básico,,1,0
118,34.0,Masculino,58,0.02,Estándar,9.0,1,0
119,16.0,Masculino,3,2.86,Básico,9.0,0,0
120,50.0,Femenino,7,0.86,Básico,6.0,1,0
121,66.0,Masculino,42,3.03,Estándar,6.0,1,0
122,25.0,Femenino,35,24.0,Básico,0.0,1,0
123,55.0,Femenino,29,10.58,Básico,8.0,1,1
124,56.0,Femenino,40,1.86,Estándar,3.0,1,0
125,49.0,Masculino,25,4.5,Básico,6.0,1,1
126,33.0,Femenino,28,3.49,Estándar,8.0,0,0
127,37.0,Femenino,24,0.7,Premium,1.0,1,0
128,,Masculino,5,22.93,Estándar,7.0,1,0
129,46.0,Masculino,27,2.77,Estándar,3.0,1,1
130,37.0,Femenino,10,3.52,Básico,3.0,1,0
131,46.0,Masculino,12,5.21,Estándar,2.0,1,1
132,36.0,Masculino,18,1.06,Básico,,1,1
133,39.0,Femenino,38,1.26,Estándar,3.0,1,0
134,38.0,Masculino,8,1.07,Básico,8.0,0,0
135,53.0,Femenino,50,2.43,Básico,0.0,1,1
136,23.0,Masculino,38,1.11,Estándar,8.0,1,0
137,48.0,Femenino,55,13.05,Estándar,9.0,0,0
138,44.0,Masculino,30,6.26,Básico,8.0,1,0
139,13.0,Femenino,9,11.41,Básico,0.0,1,0
140,,Masculino,48,9.44,Básico,8.0,1,0
141,52.0,Femenino,43,6.07,Estándar,5.0,0,0
142,35.0,Masculino,25,1.39,Básico,7.0,1,0
143,46.0,Masculino,30,4.78,Básico,7.0,0,0
144,43.0,Femenino,2,1.03,Básico,7.0,1,0
145,67.0,Masculino,17,0.71,Básico,7.0,0,0
146,46.0,Femenino,45,5.01,Estándar,0.0,1,0
147,41.0,Masculino,7,4.9,Básico,0.0,1,0
148,53.0,Masculino,22,0.85,Básico,,1,0
149,59.0,Femenino,10,2.17,Premium,8.0,1,0
150,65.0,Masculino,26,0.34,Estándar,9.0,1,0
151,,Femenino,13,6.29,Estándar,7.0,1,0
152,45.0,Masculino,42,21.91,Estándar,4.0,1,0
153,33.0,Femenino,28,6.73,Premium,7.0,1,0
154,68.0,Masculino,36,9.29,Básico,8.0,1,0
155,41.0,Masculino,59,49.853536842105264,Básico,,0,0
156,51.0,Femenino,11,0.5,Estándar,9.0,0,0
157,38.0,Masculino,9,6.48,Premium,2.0,1,1
158,46.0,Masculino,16,1.48,Básico,8.0,1,1
159,18.0,Femenino,17,2.46,Básico,4.0,1,0
160,52.0,Masculino,55,6.07,Premium,7.0,0,0
161,56.0,Femenino,5,11.76,Básico,0.0,1,0
162,33.0,Masculino,5,3.33,Básico,0.0,0,0
163,18.0,Masculino,38,16.3,Básico,2.0,1,0
164,58.0,Femenino,31,3.67,Básico,1.0,1,0
165,56.0,Femenino,2,0.65,Premium,4.0,0,0
166,49.0,Masculino,27,3.65,Básico,8.0,1,0
167,38.0,Femenino,46,,Estándar,8.0,1,0
168,37.0,Masculino,43,3.86,Básico,7.0,1,0
169,56.0,Masculino,19,6.89,Estándar,4.0,1,0
170,36.0,Femenino,43,3.97,Básico,2.0,0,0
171,42.0,Femenino,25,3.95,Básico,5.0,1,0
172,40.0,Femenino,52,,Premium,7.0,1,1
173,44.0,Femenino,38,1.12,Básico,5.0,1,1
174,39.0,Masculino,13,,Estándar,6.0,1,1
175,40.0,Masculino,29,2.91,Premium,6.0,1,0
176,61.0,Femenino,19,8.29,Básico,6.0,1,0
177,46.0,Masculino,35,8.83,Básico,8.0,1,0
178,45.0,Femenino,25,0.89,Básico,8.0,1,0
179,50.0,Masculino,48,4.02,Básico,0.0,1,1
180,27.0,Femenino,9,2.69,Estándar,2.0,1,0
181,52.0,Masculino,35,4.23,Básico,4.0,1,0
182,,Masculino,51,5.22,Premium,3.0,1,0
183,33.0,Femenino,15,1.64,Premium,0.0,1,0
184,39.0,Masculino,22,12.58,Premium,0.0,1,0
185,46.0,Femenino,13,13.7,Básico,3.0,1,0
186,41.0,Femenino,49,0.56,Básico,4.0,1,0
187,53.0,Masculino,30,,Básico,3.0,1,1
188,,Masculino,21,0.17,Estándar,1.0,1,0
189,26.0,Masculino,25,0.24,Básico,4.0,1,0
190,31.0,Femenino,25,15.83,Premium,9.0,1,0
191,35.0,Masculino,40,5.93,Estándar,2.0,1,0
192,42.0,Masculino,22,1.96,Estándar,6.0,1,0
193,36.0,Femenino,46,5.54,Estándar,3.0,0,0
194,26.0,Masculino,41,9.35,Estándar,1.0,1,0
195,24.0,Masculino,3,10.24,Básico,7.0,1,0
196,,Masculino,9,0.1,Básico,9.0,1,0
197,37.0,Masculino,24,8.53,Básico,1.0,1,0
198,30.0,Masculino,44,9.59,Estándar,6.0,1,0
199,35.0,Masculino,47,4.53,Básico,7.0,1,0
200,56.0,Femenino,32,3.27,Premium,9.0,1,0
201,26.0,Masculino,17,49.853536842105264,Premium,2.0,0,0
202,44.0,Masculino,41,1.37,Básico,5.0,1,1
203,26.0,Masculino,24,3.37,Estándar,3.0,1,0
204,24.0,Femenino,8,10.02,Básico,1.0,0,0
205,44.0,Femenino,6,,Básico,7.0,1,0
206,48.0,Masculino,9,3.43,Premium,1.0,1,0
207,,Femenino,15,7.7,Premium,8.0,1,0
208,53.0,Femenino,24,,Estándar,8.0,1,0
209,38.0,Femenino,50,4.33,Premium,7.0,1,1
210,43.0,Masculino,54,1.24,Estándar,,1,0
211,35.0,Femenino,11,2.14,Estándar,2.0,1,0
212,56.0,Masculino,31,0.9,Básico,7.0,1,0
213,29.0,Femenino,56,0.04,Básico,4.0,0,0
214,46.0,Femenino,46,0.42,Básico,9.0,1,0
215,27.0,Femenino,45,7.13,Básico,4.0,1,1
216,41.0,Masculino,45,0.17,Estándar,1.0,1,0
217,21.0,Masculino,54,2.55,Estándar,2.0,1,0
218,43.0,Femenino,13,21.27,Estándar,7.0,1,0
219,64.0,Femenino,30,7.93,Básico,0.0,1,1
220,33.0,Masculino,59,6.94,Básico,3.0,1,0
221,37.0,Femenino,25,1.61,Básico,5.0,1,1
222,50.0,Masculino,48,5.13,Básico,8.0,1,0
223,41.0,Masculino,12,3.45,Premium,7.0,0,0
224,55.0,Femenino,21,4.89,Estándar,,1,0
225,45.0,Femenino,24,,Básico,4.0,1,0
226,51.0,Masculino,26,3.79,Estándar,6.0,1,0
227,16.0,Femenino,50,22.28,Estándar,7.0,1,0
228,41.0,Femenino,12,2.0,Estándar,8.0,1,0
229,27.0,Femenino,37,1.22,Premium,2.0,1,0
230,35.0,Masculino,49,2.98,Estándar,7.0,1,0
231,45.0,Masculino,21,3.72,Premium,2.0,0,1
232,37.0,Masculino,23,0.45,Premium,0.0,1,0
233,31.0,Masculino,1,8.2,Básico,3.0,1,0
234,55.0,Masculino,45,2.74,Básico,6.0,1,1
235,52.0,Masculino,10,2.67,Básico,8.0,1,0
236,24.0,Masculino,35,5.38,Estándar,9.0,0,0
237,,Masculino,38,7.42,Premium,6.0,1,0
238,42.0,Masculino,48,21.32,Estándar,9.0,1,0
239,43.0,Masculino,28,0.95,Básico,4.0,1,0
240,59.0,Femenino,1,2.12,Estándar,0.0,0,1
241,42.0,Masculino,51,0.92,Estándar,0.0,1,1
242,49.0,Masculino,8,10.64,Básico,8.0,1,1
243,43.0,Femenino,41,3.98,Básico,3.0,1,1
244,43.0,Masculino,23,9.57,Estándar,2.0,1,0
245,29.0,Masculino,20,21.07,Estándar,4.0,1,0
246,69.0,Femenino,32,3.99,Estándar,6.0,1,0
247,3.0,Masculino,23,0.63,Básico,6.0,1,1
248,31.0,Femenino,7,2.24,Básico,4.0,1,1
249,34.0,Masculino,11,0.18,Estándar,7.0,1,0
250,51.0,Masculino,55,9.46,Premium,4.0,1,0
251,23.0,Femenino,8,0.09,Premium,9.0,1,1
252,38.0,Masculino,43,4.48,Estándar,3.0,1,0
253,,Femenino,14,0.56,Premium,5.0,1,0
254,25.0,Masculino,14,0.04,Básico,2.0,1,1
255,38.0,Femenino,36,1.48,Premium,3.0,1,0
256,38.0,Femenino,52,4.01,Básico,7.0,0,0
257,33.0,Masculino,41,0.39,Estándar,9.0,1,0
258,40.0,Masculino,40,4.77,Básico,9.0,0,0
259,35.0,Masculino,47,5.57,Premium,2.0,1,0
260,52.0,Femenino,27,17.48,Estándar,9.0,0,0
261,46.0,Femenino,20,11.49,Básico,2.0,1,0
262,38.0,Masculino,38,4.18,Básico,5.0,1,0
263,41.0,Femenino,25,7.88,Básico,7.0,1,1
264,,Femenino,48,2.26,Básico,9.0,1,0
265,56.0,Femenino,48,4.41,Básico,1.0,1,0
266,45.0,Femenino,29,2.58,Estándar,0.0,1,0
267,38.0,Femenino,14,2.06,Premium,9.0,1,0
268,45.0,Masculino,28,6.5,Premium,0.0,0,0
269,63.0,Masculino,30,1.76,Básico,6.0,1,0
270,32.0,Femenino,15,2.39,Básico,1.0,1,0
271,51.0,Masculino,54,2.29,Básico,8.0,1,0
272,45.0,Femenino,59,10.22,Básico,9.0,1,0
273,,Femenino,21,,Premium,3.0,1,0
274,31.0,Masculino,12,2.4,Estándar,6.0,0,0
275,50.0,Femenino,55,,Estándar,4.0,0,0
276,43.0,Masculino,50,0.08,Básico,4.0,0,0
277,57.0,Masculino,56,14.77,Estándar,6.0,1,0
278,54.0,Masculino,11,11.46,Premium,8.0,1,0
279,44.0,Masculino,39,2.71,Básico,3.0,0,0
280,31.0,Femenino,6,5.29,Premium,8.0,0,1
281,65.0,Femenino,3,23.59,Básico,8.0,1,0
282,33.0,Femenino,41,4.05,Básico,7.0,1,0
283,50.0,Femenino,15,0.51,Premium,0.0,1,1
284,19.0,Femenino,34,9.61,Estándar,9.0,1,1
285,59.0,Masculino,4,0.72,Básico,8.0,1,1
286,16.0,Femenino,34,1.49,Básico,2.0,1,1
287,36.0,Masculino,38,10.34,Estándar,7.0,1,1
288,27.0,Femenino,44,1.48,Estándar,4.0,1,0
289,57.0,Femenino,39,,Premium,5.0,1,1
290,31.0,Masculino,41,2.97,Básico,2.0,1,0
291,46.0,Femenino,6,7.13,Estándar,,1,1
292,43.0,Femenino,22,1.32,Básico,1.0,1,0
293,23.0,Masculino,37,,Estándar,2.0,0,0
294,52.0,Masculino,58,1.91,Estándar,1.0,1,0
295,40.0,Femenino,32,1.43,Básico,8.0,0,0
296,58.0,Femenino,59,1.89,Básico,2.0,1,1
297,47.0,Masculino,28,1.95,Básico,7.0,1,0
298,31.0,Femenino,26,15.55,Básico,5.0,1,0
299,38.0,Masculino,4,3.81,Básico,0.0,1,0
300,37.0,Masculino,10,3.1,Básico,5.0,1,0
301,49.0,Femenino,27,3.5,Básico,7.0,1,1
302,49.0,Masculino,20,27.77,Estándar,9.0,1,0
303,32.0,Femenino,36,5.3,Básico,2.0,1,0
304,51.0,Femenino,5,6.08,Básico,6.0,1,1
305,45.0,Masculino,17,1.88,Premium,5.0,1,0
306,48.0,Femenino,50,3.19,Básico,0.0,1,0
307,46.0,Femenino,32,1.02,Básico,1.0,0,1
308,50.0,Femenino,35,5.78,Estándar,4.0,1,0
309,29.0,Masculino,23,2.11,Básico,,1,1
310,42.0,Masculino,13,6.9,Estándar,3.0,1,0
311,52.0,Femenino,1,1.2,Básico,5.0,1,0
312,53.0,Femenino,31,2.58,Básico,1.0,1,1
313,53.0,Masculino,19,3.19,Premium,4.0,1,1
314,29.0,Masculino,23,0.91,Básico,9.0,0,0
315,65.0,Femenino,54,0.36,Básico,2.0,1,1
316,61.0,Femenino,34,1.91,Básico,0.0,1,0
317,30.0,Femenino,4,3.94,Básico,5.0,0,0
318,36.0,Masculino,48,5.29,Básico,8.0,1,1
319,48.0,Masculino,48,2.77,Básico,9.0,1,1
320,31.0,Masculino,49,3.47,Estándar,7.0,1,0
321,47.0,Femenino,53,3.92,Estándar,3.0,0,0
322,43.0,Masculino,44,3.59,Estándar,7.0,1,1
323,55.0,Femenino,34,0.47,Estándar,,1,0
324,45.0,Masculino,30,2.6,Premium,2.0,1,0
325,16.0,Masculino,56,1.14,Premium,3.0,1,0
326,50.0,Femenino,10,,Básico,6.0,1,0
327,55.0,Masculino,6,7.1,Premium,4.0,1,0
328,39.0,Femenino,12,4.33,Básico,3.0,1,0
329,42.0,Masculino,12,1.25,Estándar,2.0,1,0
330,,Masculino,49,1.16,Estándar,2.0,1,0
331,33.0,Masculino,18,0.19,Premium,9.0,1,0
332,70.0,Femenino,36,2.78,Básico,5.0,1,0
333,31.0,Masculino,35,2.84,Estándar,7.0,0,0
334,51.0,Masculino,25,,Básico,3.0,1,0
335,51.0,Femenino,49,7.23,Premium,0.0,1,0
336,35.0,Masculino,55,2.44,Premium,3.0,1,0
337,29.0,Masculino,41,5.53,Básico,4.0,0,0
338,39.0,Femenino,57,5.11,Básico,7.0,1,0
339,48.0,Masculino,22,4.64,Básico,,1,1
340,44.0,Masculino,30,11.93,Básico,1.0,0,0
341,62.0,Femenino,44,0.08,Premium,8.0,0,1
342,33.0,Masculino,29,0.35,Estándar,2.0,1,0
343,33.0,Masculino,7,6.4,Básico,8.0,1,1
344,51.0,Femenino,48,2.18,Estándar,0.0,0,0
345,20.0,Masculino,40,21.53,Estándar,8.0,1,1
346,33.0,Masculino,3,1.22,Básico,6.0,1,0
347,38.0,Masculino,21,1.01,Básico,1.0,1,0
348,,Femenino,45,4.44,Estándar,9.0,1,0
349,34.0,Femenino,20,1.64,Básico,6.0,1,0
350,18.0,Femenino,9,2.08,Básico,0.0,1,0
351,57.0,Femenino,41,12.69,Básico,2.0,1,1
352,56.0,Masculino,36,0.13,Premium,6.0,1,1
353,20.0,Masculino,14,3.79,Básico,2.0,0,0
354,48.0,Femenino,18,2.04,Premium,1.0,1,1
355,38.0,Femenino,33,2.12,Estándar,4.0,1,0
356,47.0,Femenino,51,1.42,Básico,2.0,1,1
357,43.0,Masculino,2,0.72,Estándar,8.0,1,0
358,23.0,Masculino,37,0.18,Básico,6.0,1,0
359,50.0,Masculino,31,21.99,Premium,0.0,1,0
360,33.0,Masculino,22,5.4,Premium,0.0,1,1
361,9.0,Femenino,46,7.51,Básico,5.0,1,0
362,42.0,Masculino,9,0.34,Estándar,3.0,1,0
363,21.0,Masculino,20,0.07,Básico,0.0,1,1
364,54.0,Femenino,20,4.59,Básico,8.0,1,1
365,,Femenino,47,6.43,Básico,1.0,1,0
366,41.0,Masculino,52,2.51,Estándar,0.0,1,1
367,46.0,Masculino,1,2.45,Básico,2.0,1,0
368,41.0,Masculino,30,,Básico,9.0,1,0
369,33.0,Femenino,19,0.83,Premium,0.0,1,0
370,54.0,Femenino,36,7.01,Estándar,3.0,1,0
371,39.0,Femenino,14,1.21,Premium,3.0,1,0
372,27.0,Femenino,1,1.96,Básico,5.0,1,0
373,44.0,Femenino,5,5.56,Estándar,2.0,0,0
374,39.0,Masculino,10,0.0,Premium,8.0,1,1
375,40.0,Masculino,9,7.27,Básico,5.0,1,0
376,42.0,Masculino,49,11.47,Estándar,6.0,1,1
377,41.0,Masculino,14,0.26,Básico,5.0,0,1
378,57.0,Masculino,39,4.48,Estándar,8.0,1,0
379,30.0,Masculino,18,2.63,Estándar,1.0,1,0
380,15.0,Masculino,42,0.41,Premium,7.0,1,0
381,40.0,Femenino,59,5.73,Estándar,4.0,1,1
382,50.0,Masculino,25,4.74,Premium,1.0,1,0
383,21.0,Femenino,36,5.15,Básico,6.0,1,0
384,44.0,Masculino,31,8.4,Básico,4.0,1,0
385,23.0,Masculino,46,1.69,Básico,7.0,1,1
386,50.0,Femenino,35,5.65,Estándar,9.0,0,1
387,40.0,Femenino,27,6.8,Básico,5.0,0,0
388,29.0,Masculino,55,0.92,Premium,6.0,1,0
389,21.0,Masculino,22,,Básico,0.0,1,0
390,66.0,Masculino,11,2.08,Básico,1.0,1,0
391,68.0,Masculino,10,6.25,Premium,8.0,1,1
392,27.0,Masculino,8,7.01,Básico,6.0,0,0
393,27.0,Femenino,41,3.51,Estándar,6.0,1,0
394,41.0,Femenino,28,0.69,Básico,3.0,1,0
395,35.0,Femenino,23,1.61,Básico,3.0,1,1
396,36.0,Masculino,6,1.33,Básico,2.0,1,1
397,43.0,Masculino,14,3.66,Básico,9.0,1,0
398,,Femenino,24,1.51,Estándar,3.0,1,0
399,56.0,Femenino,9,3.96,Estándar,9.0,0,0
400,36.0,Masculino,46,1.7,Premium,5.0,1,0
401,49.0,Masculino,40,0.0,Básico,2.0,1,0
402,18.0,Masculino,38,2.26,Básico,9.0,1,1
403,42.0,Masculino,56,4.67,Estándar,7.0,1,0
404,37.0,Masculino,25,7.43,Básico,0.0,1,1
405,52.0,Femenino,38,0.14,Premium,5.0,1,0
406,47.0,Femenino,30,1.49,Básico,1.0,1,1
407,44.0,Masculino,22,21.15,Premium,0.0,1,0
408,46.0,Masculino,2,1.52,Básico,3.0,1,0
409,35.0,Masculino,25,7.51,Básico,5.0,1,0
410,52.0,Masculino,24,3.56,Básico,6.0,1,0
411,46.0,Masculino,37,0.65,Básico,0.0,1,0
412,,Masculino,58,5.16,Estándar,2.0,0,1
413,41.0,Masculino,3,16.96,Premium,5.0,1,0
414,50.0,Masculino,57,10.89,Básico,5.0,1,0
415,51.0,Femenino,43,5.86,Básico,9.0,1,0
416,36.0,Masculino,26,3.59,Básico,5.0,1,0
417,29.0,Femenino,30,1.92,Estándar,6.0,1,0
418,35.0,Femenino,29,2.21,Básico,6.0,0,0
419,35.0,Masculino,7,2.12,Estándar,9.0,1,0
420,41.0,Masculino,9,12.76,Estándar,7.0,1,1
421,54.0,Femenino,45,1.19,Estándar,1.0,1,0
422,34.0,Masculino,30,2.37,Estándar,9.0,1,1
423,45.0,Masculino,16,2.83,Premium,0.0,1,0
424,38.0,Masculino,55,2.63,Básico,9.0,0,0
425,40.0,Femenino,44,0.02,Básico,6.0,1,0
426,44.0,Masculino,40,1.58,Básico,0.0,1,0
427,54.0,Femenino,14,3.45,Básico,1.0,0,0
428,43.0,Masculino,26,7.15,Básico,0.0,1,1
429,9.0,Masculino,46,4.21,Básico,0.0,1,1
430,38.0,Femenino,37,2.43,Básico,2.0,1,0
431,59.0,Femenino,58,5.47,Estándar,3.0,0,1
432,,Femenino,10,5.48,Estándar,4.0,1,1
433,49.0,Masculino,30,1.42,Básico,4.0,1,0
434,54.0,Masculino,22,0.55,Estándar,1.0,1,1
435,50.0,Femenino,56,8.13,Estándar,2.0,1,0
436,54.0,Femenino,30,3.77,Básico,7.0,0,0
437,27.0,Masculino,32,0.97,Premium,1.0,1,1
438,39.0,Masculino,14,1.52,Básico,3.0,1,0
439,42.0,Masculino,23,7.27,Estándar,6.0,1,0
440,41.0,Masculino,17,5.3,Premium,8.0,1,0
441,33.0,Masculino,58,14.52,Estándar,2.0,1,0
442,42.0,Femenino,36,3.13,Estándar,2.0,1,0
443,20.0,Masculino,29,0.27,Premium,6.0,1,0
444,45.0,Masculino,24,6.03,Básico,,1,0
445,32.0,Masculino,47,1.47,Básico,3.0,1,0
446,14.0,Femenino,11,1.96,Estándar,,1,1
447,40.0,Femenino,41,1.09,Premium,4.0,1,0
448,59.0,Masculino,15,1.85,Estándar,3.0,0,0
449,17.0,Masculino,22,,Premium,7.0,1,0
450,37.0,Femenino,27,4.3,Básico,6.0,0,1
451,21.0,Masculino,52,0.58,Premium,1.0,0,1
452,43.0,Femenino,34,4.42,Premium,5.0,1,0
453,50.0,Femenino,57,5.02,Básico,3.0,1,0
454,30.0,Femenino,33,10.81,Premium,6.0,1,1
455,35.0,Masculino,21,9.82,Básico,8.0,0,0
456,38.0,Femenino,24,0.32,Premium,6.0,0,0
457,55.0,Masculino,20,10.08,Premium,1.0,0,0
458,23.0,Femenino,49,0.26,Básico,7.0,0,0
459,35.0,Femenino,4,0.84,Estándar,,1,0
460,59.0,Femenino,37,0.59,Estándar,8.0,1,0
461,,Femenino,37,1.0,Básico,6.0,1,0
462,35.0,Femenino,46,8.13,Básico,4.0,1,0
463,42.0,Masculino,33,5.79,Básico,7.0,1,0
464,68.0,Femenino,31,5.81,Estándar,6.0,1,0
465,27.0,Femenino,34,12.76,Básico,0.0,1,0
466,49.0,Masculino,22,2.49,Premium,4.0,1,0
467,26.0,Masculino,42,0.02,Básico,,1,0
468,28.0,Femenino,30,5.11,Estándar,9.0,1,0
469,34.0,Masculino,5,,Básico,6.0,1,0
470,46.0,Femenino,41,18.7,Estándar,2.0,1,0
471,33.0,Femenino,45,2.26,Premium,4.0,1,0
472,42.0,Femenino,23,8.63,Básico,7.0,0,0
473,31.0,Masculino,53,9.46,Básico,8.0,1,0
474,41.0,Femenino,13,0.78,Estándar,8.0,1,0
475,24.0,Masculino,9,4.99,Básico,9.0,1,0
476,25.0,Femenino,14,0.95,Básico,4.0,1,1
477,34.0,Femenino,17,2.96,Básico,1.0,1,1
478,47.0,Masculino,35,10.57,Básico,7.0,1,1
479,42.0,Femenino,18,7.79,Estándar,6.0,1,0
480,31.0,Femenino,12,4.22,Premium,3.0,1,0
